City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
62,Mar Del Plata,-38.0,-57.56,50.0,87,23,9.17,AR,few clouds,2020-08-24 06:17:40
63,Thompson,55.74,-97.86,51.8,100,90,10.29,CA,light rain,2020-08-24 06:15:55
64,Tiksi,71.69,128.87,40.87,71,63,13.87,RU,broken clouds,2020-08-24 06:19:31
65,Hilo,19.73,-155.09,80.6,74,90,3.36,US,overcast clouds,2020-08-24 06:18:07
66,Severo-Kurilsk,50.68,156.12,53.55,88,61,5.23,RU,broken clouds,2020-08-24 06:16:18
67,Rorvik,64.86,11.24,50.0,76,75,3.36,NO,shower rain,2020-08-24 06:19:32
68,Upernavik,72.79,-56.15,43.38,84,100,2.44,GL,overcast clouds,2020-08-24 06:19:32
69,Salalah,17.02,54.09,75.2,100,90,5.82,OM,mist,2020-08-24 06:19:33
70,Clyde River,70.47,-68.59,41.14,93,100,6.22,CA,light rain,2020-08-24 06:19:33
71,Padang,-0.95,100.35,86.47,68,39,4.54,ID,light rain,2020-08-24 06:17:56
72,Vaini,-21.2,-175.2,75.83,85,0,12.95,TO,clear sky,2020-08-24 06:15:45
73,Albany,42.6,-73.97,66.99,92,69,1.66,US,broken clouds,2020-08-24 06:16:34
74,Jamestown,42.1,-79.24,66.2,88,1,5.82,US,clear sky,2020-08-24 06:16:35
75,Olinda,-8.01,-34.86,71.6,83,40,7.2,BR,scattered clouds,2020-08-24 06:18:49
76,Imeni Poliny Osipenko,52.42,136.49,68.97,63,96,3.96,RU,overcast clouds,2020-08-24 06:19:37
77,Pemangkat,1.17,108.97,83.05,75,91,8.63,ID,moderate rain,2020-08-24 06:19:38
78,Arraial Do Cabo,-22.97,-42.03,67.01,61,24,10.16,BR,few clouds,2020-08-24 06:19:38
79,Camacha,33.08,-16.33,73.4,78,40,10.29,PT,scattered clouds,2020-08-24 06:19:39
80,Butaritari,3.07,172.79,82.8,75,99,10.85,KI,overcast clouds,2020-08-24 06:19:39
81,Belmonte,-15.86,-38.88,64.4,93,75,9.17,BR,broken clouds,2020-08-24 06:19:39
82,Nizip,37.01,37.79,78.8,26,0,6.93,TR,clear sky,2020-08-24 06:19:39
83,Collie,-33.37,116.15,64.99,43,7,4.38,AU,clear sky,2020-08-24 06:19:40
84,Kagoro,9.6,8.38,66.0,96,99,2.04,NG,overcast clouds,2020-08-24 06:19:40
85,Atbasar,51.8,68.33,64.31,55,63,6.4,KZ,broken clouds,2020-08-24 06:19:41
86,Sungurlu,40.17,34.37,69.01,46,0,3.98,TR,clear sky,2020-08-24 06:19:41
87,Scarborough,54.28,-0.4,55.99,93,61,6.93,GB,broken clouds,2020-08-24 06:19:41
88,Provideniya,64.38,-173.3,53.6,76,90,6.71,RU,overcast clouds,2020-08-24 06:19:42
89,Tyukhtet,56.54,89.3,61.56,80,99,3.04,RU,light rain,2020-08-24 06:19:42
90,Krasnoarmeysk,51.02,45.7,67.24,50,0,4.61,RU,clear sky,2020-08-24 06:19:42
91,Esperance,-33.87,121.9,59.0,87,90,12.75,AU,overcast clouds,2020-08-24 06:19:42
92,Castro,-24.79,-50.01,49.21,86,75,13.33,BR,broken clouds,2020-08-24 06:15:41
93,Uaua,-9.84,-39.48,67.89,83,35,12.5,BR,scattered clouds,2020-08-24 06:19:43
94,Tezu,27.92,96.17,93.33,52,58,2.3,IN,light rain,2020-08-24 06:19:43
95,San Pedro,14.35,121.02,91.0,66,100,16.11,PH,overcast clouds,2020-08-24 06:19:44
96,El Alto,-4.27,-81.21,60.71,80,0,14.12,PE,clear sky,2020-08-24 06:19:44
97,Nanortalik,60.14,-45.24,41.63,89,21,7.31,GL,few clouds,2020-08-24 06:19:45
98,Ancud,-41.87,-73.82,39.0,100,90,12.75,CL,overcast clouds,2020-08-24 06:19:45
99,Bambous Virieux,-20.34,57.76,75.99,69,75,17.22,MU,shower rain,2020-08-24 06:19:46
100,Cayenne,4.93,-52.33,73.4,100,11,8.72,GF,light rain,2020-08-24 06:19:46
